name,unit_no,sector,coal_source,coal_grade,pithead,base_rs_t,freight_rs_t,recon_ecr,real_ecr,vc_final,vc_source
Panipat,8.0,State,domestic,G12,False,1616.2400000000002,2190.0,3.0608597913305373,,3.0608597913305373,reconstructed_landed
Vijaywada (Dr. N.TATA Rao Tps),6.0,State,domestic,G15,False,1264.0,2190.0,3.4470992190152803,,3.4470992190152803,reconstructed_landed
Obra-A,11.0,State,domestic,G13,False,1534.13,2190.0,3.2846418982507286,,3.2846418982507286,reconstructed_landed
Budge Budge,1.0,Private,domestic,G12,False,1616.2400000000002,2190.0,2.5870224004254188,,2.5870224004254188,reconstructed_landed
I.B.Valley,1.0,State,domestic,G15,False,1264.0,2190.0,3.652223991726991,,3.652223991726991,reconstructed_landed
Bhusawal,4.0,State,domestic,G13,False,1534.13,2190.0,3.321958334793297,,3.321958334793297,reconstructed_landed
Jallippa Kapurdi TPP,5.0,Private,lignite,G14,True,1452.02,,1.5453000000000001,,1.5453000000000001,modelled_anchor
Chhabra Tps,1.0,State,domestic,G13,False,1534.13,2190.0,2.99995464358674,,2.99995464358674,reconstructed_landed
Anpara,2.0,State,domestic,G14,False,1452.02,2190.0,3.1765335758706468,,3.1765335758706468,reconstructed_landed
Chandrapur_Coal,8.0,State,domestic,G14,False,1452.02,1280.0,2.2098673592779203,,2.2098673592779203,reconstructed_landed
Obra-A,12.0,State,domestic,G13,False,1534.13,2190.0,3.260212474052478,,3.260212474052478,reconstructed_landed
Dhanu,2.0,Private,domestic,G13,False,1534.13,2190.0,2.7514977572039623,,2.7514977572039623,reconstructed_landed
Jallippa Kapurdi TPP,7.0,Private,lignite,G14,True,1452.02,,1.5465,,1.5465,modelled_anchor
Avantha Bhandar TPP,1.0,Private,domestic,G14,False,1452.02,2190.0,3.035461598511819,,3.035461598511819,reconstructed_landed
Amar Kantak Ext,5.0,State,domestic,G11,False,1698.3500000000001,2190.0,2.8042517378849374,,2.8042517378849374,reconstructed_landed
Rosa TPP Ph - 1,2.0,Private,domestic,G12,False,1616.2400000000002,2190.0,2.754592980443286,,2.754592980443286,reconstructed_landed
K_Gudem New,2.0,State,domestic,G15,False,1264.0,2190.0,3.1468167300380228,,3.1468167300380228,reconstructed_landed
Jallippa Kapurdi TPP,8.0,Private,lignite,G14,True,1452.02,,1.5461999999999998,,1.5461999999999998,modelled_anchor
R_Gundem Stps,6.0,Centre,domestic,G13,True,1534.13,360.0,1.473646300214439,2.365,2.365,real_ISGS_ECR
Neyveli Fst Ext,2.0,Centre,lignite,G16,True,1233.06,,1.6079500000000002,2.454,2.454,real_ISGS_ECR
Kamalanga,2.0,Private,domestic,G14,False,1452.02,2190.0,2.92920737021224,,2.92920737021224,reconstructed_landed
Yamunanagar TPP,2.0,State,domestic,G14,False,1452.02,2190.0,2.8631072647598748,,2.8631072647598748,reconstructed_landed
Kamalanga,1.0,Private,domestic,G14,False,1452.02,2190.0,2.9700486818892715,,2.9700486818892715,reconstructed_landed
Farakka Stps,4.0,Centre,domestic,G12,False,1616.2400000000002,2190.0,2.6595225549631887,2.68,2.68,real_ISGS_ECR
Jallippa Kapurdi TPP,4.0,Private,lignite,G14,True,1452.02,,1.5454500000000002,,1.5454500000000002,modelled_anchor
Farakka Stps,3.0,Centre,domestic,G12,False,1616.2400000000002,2190.0,2.8310160701914087,2.68,2.68,real_ISGS_ECR
Kamalanga,3.0,Private,domestic,G14,False,1452.02,2190.0,2.954326707407867,,2.954326707407867,reconstructed_landed
Durgapur Steel Tps,1.0,Centre,domestic,G12,False,1616.2400000000002,2190.0,2.721285631761258,2.946,2.946,real_ISGS_ECR
R_Gundem Stps,3.0,Centre,domestic,G13,True,1534.13,360.0,1.5069234168831538,2.365,2.365,real_ISGS_ECR
